BSE Code,Company Name
500404,Sunflag Iron & Steel Company Ltd
500405,Supreme Petrochem Ltd
500407,Swaraj Engines Ltd
500408,Tata Elxsi Ltd
500410,ACC Ltd
500411,Thermax Ltd
500412,Thirumalai Chemicals Ltd
500413,Thomas Cook (India) Ltd
500414,Timex Group India Ltd
500418,Tokyo Plast International Ltd
500420,Torrent Pharmaceuticals Ltd
500421,TPI India Ltd
500422,Transchem Ltd
500425,Ambuja Cements Ltd
500426,UTL Industries Ltd
500429,Uniphos Enterprises Ltd
500439,Vardhman Holdings Ltd
500440,Hindalco Industries Ltd
500444,West Coast Paper Mills Ltd
500449,Hindustan Organic Chemicals Ltd
500450,MPIL Corporation Ltd
500456,Pasupati Acrylon Ltd
500458,Kore Foods Ltd
500459,Procter & Gamble Hygiene and Health Care Ltd
500460,Mukand Ltd
500463,Black Box Ltd
500464,Ucal  Ltd
500467,Harrisons Malayalam Ltd
500469,Federal Bank Ltd
500470,Tata Steel Ltd
500472,SKF India Ltd
500477,Ashok Leyland Ltd
500480,Cummins India Ltd
500483,Tata Communications Ltd
500488,Abbott India Ltd
500490,Bajaj Holdings & Investment Ltd
500493,Bharat Forge Ltd
500495,Escorts Kubota Ltd
500500,Hindustan Motors Ltd
500510,Larsen & Toubro Ltd
500520,Mahindra & Mahindra Ltd
500530,Bosch Ltd
500540,Premier Ltd
500547,Bharat Petroleum Corporation Ltd
500550,Siemens Ltd
500570,Tata Motors Ltd
500575,Voltas Ltd
500620,Great Eastern Shipping Company Ltd
500645,Deepak Fertilisers & Petrochemicals Corporation Ltd
500650,Excel Industries Ltd
500655,Garware Hi-Tech Films Ltd
500660,GlaxoSmithKline Pharmaceuticals Ltd
500670,Gujarat Narmada Valley Fertilizers & Chemicals Ltd
500672,Novartis India Ltd
500674,Sanofi India Ltd
500680,Pfizer Ltd
500690,Gujarat State Fertilizers & Chemicals Ltd
500696,Hindustan Unilever Ltd
500710,Akzo Nobel India Ltd
500730,NOCIL Ltd
500770,Tata Chemicals Ltd
500777,Tamilnadu Petroproducts Ltd
500780,Zuari Industries Ltd
500790,Nestle India Ltd
500800,Tata Consumer Products Ltd
500820,Asian Paints Ltd
500825,Britannia Industries Ltd
500830,Colgate Palmolive (India) Ltd
500840,EIH Ltd
500850,Indian Hotels Company Ltd
500870,Castrol India Ltd
500875,ITC Ltd
500877,Apollo Tyres Ltd
500878,Ceat Ltd
500890,Modi Rubber Ltd
500940,Finolex Industries Ltd
501110,Sunrise Industrial Traders Ltd
501111,Gold Rock Investments Ltd
501148,Dalal Street Investments Ltd
501150,Centrum Capital Ltd
501242,TCI Finance Ltd
501261,Lords Mark India Ltd
501270,Antariksh Industries Ltd
501295,Industrial Investment Trust Ltd
501298,Industrial & Prudential Investment Company Ltd
